CustomerID,Age,City,MonthsAsCustomer,AvgMonthlySpend,AvgItemsPerVisit,PreferredCategory,Churned
95,57,Mumbai,82,1701.39,17,Groceries,0
96,34,Mumbai,64,3145.7,33,Home Goods,0
97,20,Thane,23,2316.27,5,Home Goods,1
98,26,Thane,76,4544.37,23,Home Goods,0
99,31,Mumbai,7,2984.02,19,Apparel,1
100,47,Mumbai,17,5543.27,5,Apparel,1
101,49,Delhi,25,4898.98,31,Home Goods,0
102,29,Mumbai,76,3898.77,24,Electronics,0
103,55,Kolkata,58,7552.92,25,Electronics,0
104,50,Delhi,15,5311.3,13,Electronics,1
105,22,Delhi,39,1655.82,13,Electronics,0
106,25,Bengaluru,26,1732.81,8,Home Goods,1
107,36,Bengaluru,47,1554.05,5,Apparel,0
108,26,Thane,57,4397.6,20,Apparel,0
109,57,Mumbai,39,4853.39,39,Electronics,0
110,47,Thane,75,3449.57,10,Home Goods,0
111,64,Mumbai,23,1354.14,29,Electronics,1
112,63,Bengaluru,41,2488.01,36,Home Goods,0
113,61,Mumbai,20,3218.36,24,Groceries,1
114,44,Mumbai,55,3190.55,13,Home Goods,0
115,47,Kolkata,46,2425.61,16,Groceries,0
116,33,Bengaluru,50,2182.97,23,Apparel,0
117,58,Thane,7,1596.24,31,Electronics,1
118,57,Kolkata,32,2345.17,26,Home Goods,0
119,39,Bengaluru,43,2644.81,30,Apparel,0
120,40,Bengaluru,24,5138.19,19,Apparel,0
121,45,Thane,52,5843.89,30,Apparel,0
122,25,Thane,36,4372.64,30,Electronics,0
123,23,Kolkata,51,3385.89,10,Apparel,0
124,22,Bengaluru,26,6034.12,38,Apparel,0
125,42,Thane,33,2859.64,5,Home Goods,0
126,33,Bengaluru,38,6562.12,14,Home Goods,0
127,37,Bengaluru,62,4239.75,17,Electronics,0
128,63,Thane,22,2372.18,20,Home Goods,1
129,21,Delhi,67,3443.02,35,Apparel,0
130,64,Bengaluru,32,6423.69,37,Groceries,0
131,26,Kolkata,82,5293.52,12,Groceries,0
132,35,Bengaluru,60,5307.67,5,Home Goods,0
133,48,Kolkata,41,4792.77,39,Electronics,0
134,45,Thane,51,3172.82,8,Home Goods,0
135,58,Kolkata,67,2932.32,29,Electronics,0
136,64,Delhi,68,6766.98,23,Apparel,0
137,33,Delhi,73,5007.96,9,Apparel,0
138,21,Mumbai,30,3695.4,34,Home Goods,0
139,59,Bengaluru,37,2672.2,9,Home Goods,0
140,21,Delhi,58,3797.7,30,Apparel,0
141,35,Bengaluru,29,3277.49,32,Electronics,0
142,36,Bengaluru,69,916.69,7,Apparel,0
143,21,Bengaluru,77,607.18,9,Groceries,0
144,43,Thane,53,2617.43,12,Apparel,0
145,37,Bengaluru,19,500.0,38,Apparel,1
146,54,Bengaluru,72,1386.12,34,Electronics,0
147,53,Bengaluru,32,3998.19,19,Electronics,0
148,49,Kolkata,63,7758.72,27,Groceries,0
149,45,Bengaluru,25,2688.98,18,Home Goods,0
150,47,Mumbai,72,4527.02,16,Electronics,0
151,19,Mumbai,61,2484.81,31,Apparel,0
152,28,Mumbai,83,3556.27,7,Electronics,0
153,63,Kolkata,28,5156.12,18,Home Goods,0
154,32,Thane,52,3225.68,28,Apparel,0
155,19,Mumbai,78,4075.2,15,Groceries,0
156,54,Mumbai,13,3306.91,27,Home Goods,1
157,44,Bengaluru,16,3127.29,17,Groceries,1
158,49,Delhi,27,3888.01,16,Home Goods,0
159,34,Mumbai,78,3334.5,10,Apparel,0
160,22,Thane,64,4505.76,19,Home Goods,0
161,38,Delhi,24,3094.46,26,Apparel,0
162,23,Bengaluru,61,2699.28,35,Electronics,0
163,54,Kolkata,61,4362.11,6,Apparel,0
164,24,Kolkata,51,2897.98,34,Apparel,0
165,62,Mumbai,66,3855.24,8,Home Goods,0
166,22,Delhi,51,3587.91,8,Groceries,0
167,29,Thane,54,3521.01,24,Electronics,0
168,46,Delhi,51,3718.73,12,Groceries,0
169,33,Thane,59,4606.62,29,Electronics,0
170,24,Delhi,74,2933.35,33,Apparel,0
171,49,Delhi,15,6664.65,30,Groceries,1
172,41,Mumbai,37,6304.56,20,Electronics,0
173,38,Thane,48,1558.28,27,Electronics,0
174,63,Kolkata,20,3094.38,37,Apparel,1
175,55,Bengaluru,13,3882.26,31,Groceries,1
176,49,Thane,19,6477.97,12,Apparel,0
177,37,Mumbai,53,5439.43,29,Apparel,0
178,22,Delhi,55,5067.66,9,Home Goods,0
179,20,Bengaluru,58,4278.54,28,Home Goods,0
180,48,Thane,65,5805.42,20,Apparel,0
181,44,Thane,70,3277.03,34,Apparel,0
182,50,Bengaluru,72,4298.37,7,Apparel,0
183,23,Kolkata,42,3129.26,13,Groceries,0
184,56,Delhi,28,4235.67,12,Home Goods,0
185,60,Delhi,73,2528.6,10,Home Goods,0
186,26,Delhi,68,6143.21,39,Apparel,0
187,62,Kolkata,62,4566.94,16,Groceries,0
188,38,Thane,28,2259.57,14,Groceries,0
189,34,Thane,63,2648.12,22,Groceries,0
190,22,Delhi,56,4127.18,10,Electronics,0
191,24,Mumbai,14,3481.16,10,Groceries,1
192,28,Mumbai,69,1857.7,24,Home Goods,0
193,53,Bengaluru,30,2104.38,30,Groceries,0
194,32,Delhi,32,5669.38,6,Home Goods,0
195,54,Mumbai,48,5231.98,14,Groceries,0
196,46,Thane,45,2246.05,11,Groceries,0
197,47,Mumbai,40,5894.43,31,Electronics,0
198,37,Bengaluru,45,4020.1,8,Home Goods,0
199,30,Mumbai,56,2265.56,37,Apparel,0
200,30,Bengaluru,28,3538.79,36,Apparel,0
201,59,Delhi,34,3867.15,39,Groceries,0
202,62,Kolkata,19,3184.59,23,Apparel,1
203,19,Kolkata,26,2307.36,36,Home Goods,1
204,57,Thane,8,4420.08,5,Groceries,1
205,50,Thane,56,4402.21,14,Home Goods,0
206,58,Bengaluru,76,3560.31,29,Apparel,0
207,26,Delhi,79,3707.43,29,Apparel,0
208,52,Thane,77,3311.2,39,Groceries,0
209,49,Mumbai,39,3226.48,21,Groceries,0
210,54,Mumbai,69,5867.03,18,Apparel,0
211,35,Bengaluru,60,500.0,32,Groceries,1
212,51,Mumbai,7,2661.67,34,Home Goods,1
213,50,Bengaluru,24,500.0,14,Electronics,1
214,22,Thane,51,4285.95,26,Apparel,0
215,54,Delhi,44,2619.61,34,Groceries,0
216,53,Kolkata,76,2923.62,16,Apparel,0
217,57,Thane,81,4469.9,26,Apparel,0
218,45,Kolkata,71,3575.24,24,Home Goods,0
219,64,Kolkata,47,4419.0,39,Home Goods,0
220,57,Mumbai,22,4212.06,8,Home Goods,0
221,19,Delhi,12,4698.74,25,Apparel,1
222,26,Kolkata,54,2581.47,37,Electronics,0
223,61,Bengaluru,20,2409.36,36,Home Goods,1
224,61,Bengaluru,24,3964.73,33,Home Goods,0
225,35,Kolkata,42,3866.06,9,Electronics,0
226,59,Mumbai,68,4472.94,39,Home Goods,0
227,57,Thane,72,767.5,15,Apparel,0
228,20,Thane,9,3385.23,30,Groceries,1
229,56,Bengaluru,13,3601.17,9,Apparel,1
230,57,Delhi,80,1130.82,32,Groceries,0
231,25,Thane,63,1311.84,23,Electronics,0
232,23,Thane,17,2830.65,15,Home Goods,1
233,20,Delhi,68,4260.34,6,Home Goods,0
234,49,Bengaluru,10,1964.57,12,Home Goods,1
235,24,Mumbai,41,909.7,29,Groceries,1
236,58,Thane,81,5372.85,7,Apparel,0
237,34,Bengaluru,81,2742.89,13,Home Goods,0
238,21,Delhi,59,1300.95,14,Groceries,0
239,45,Kolkata,47,5559.0,36,Groceries,0
240,42,Kolkata,32,3046.66,33,Apparel,0
241,52,Thane,36,6297.4,39,Groceries,0
242,58,Mumbai,49,4189.3,22,Home Goods,0
243,57,Thane,44,4024.13,24,Home Goods,0
244,41,Mumbai,16,3683.67,10,Electronics,1
245,37,Bengaluru,57,2173.99,36,Home Goods,0
246,38,Kolkata,60,1864.07,24,Apparel,0
247,19,Mumbai,78,5700.8,29,Apparel,0
248,49,Delhi,33,5114.8,7,Home Goods,0
249,61,Thane,17,2510.41,19,Groceries,1
250,49,Mumbai,70,2155.94,16,Groceries,0
251,58,Mumbai,11,1332.6,14,Groceries,1
252,40,Mumbai,11,3112.89,33,Electronics,1
253,46,Bengaluru,27,2816.19,8,Electronics,0
254,54,Thane,27,4837.49,7,Home Goods,0
255,18,Delhi,40,6055.78,25,Home Goods,0
256,61,Thane,10,3064.3,12,Electronics,1
257,38,Mumbai,49,2950.67,7,Home Goods,0
258,22,Kolkata,26,4746.89,29,Groceries,0
259,50,Thane,49,6130.45,34,Groceries,0
260,51,Bengaluru,78,3286.82,30,Groceries,0
261,58,Delhi,56,2025.44,11,Electronics,0
262,57,Thane,47,1957.36,32,Apparel,0
263,26,Bengaluru,45,2477.24,38,Groceries,0
264,19,Bengaluru,7,2869.09,37,Home Goods,1
265,50,Mumbai,16,4932.34,20,Groceries,1
266,41,Bengaluru,24,3641.66,20,Home Goods,0
267,64,Bengaluru,17,2618.69,13,Groceries,1
268,54,Thane,70,3376.41,11,Home Goods,0
269,55,Bengaluru,46,2977.32,24,Electronics,0
270,38,Thane,41,3064.89,8,Electronics,0
271,48,Delhi,25,2306.53,34,Electronics,1
272,52,Bengaluru,71,4035.22,21,Home Goods,0
273,48,Mumbai,24,3894.38,28,Home Goods,0
274,45,Delhi,19,1061.88,17,Apparel,1
275,58,Delhi,13,1693.23,32,Home Goods,1
276,27,Bengaluru,54,4080.31,34,Apparel,0
277,47,Kolkata,62,6035.67,9,Apparel,0
278,29,Delhi,18,4539.55,22,Electronics,1
279,64,Delhi,56,3339.86,28,Groceries,0
280,50,Bengaluru,63,3283.01,8,Groceries,0
281,57,Mumbai,48,4683.19,21,Electronics,0
282,62,Thane,75,5022.57,9,Electronics,0
283,38,Mumbai,79,3907.15,19,Groceries,0
284,48,Bengaluru,15,4315.55,35,Apparel,1
285,44,Delhi,54,2034.11,8,Groceries,0
286,18,Kolkata,55,6269.09,12,Groceries,0
287,29,Mumbai,76,4203.32,16,Groceries,0
288,42,Mumbai,15,3131.76,27,Groceries,1
289,47,Bengaluru,75,1226.73,5,Electronics,0
290,26,Delhi,23,4832.69,8,Home Goods,0
291,23,Mumbai,39,4076.74,30,Apparel,0
292,42,Kolkata,15,2838.62,27,Home Goods,1
293,64,Bengaluru,23,4227.19,25,Electronics,0
294,33,Delhi,39,4054.08,15,Home Goods,0
295,52,Bengaluru,9,7156.4,24,Apparel,1
296,54,Delhi,41,4678.33,8,Apparel,0
297,43,Mumbai,56,2393.98,7,Apparel,0
298,61,Thane,57,1980.06,6,Electronics,0
299,45,Thane,9,5473.19,7,Home Goods,1
300,34,Thane,8,5412.73,31,Home Goods,1
301,37,Bengaluru,32,5131.07,30,Home Goods,0
302,37,Kolkata,28,3567.1,10,Home Goods,0
303,47,Mumbai,14,1406.05,15,Groceries,1
304,29,Bengaluru,66,3724.16,9,Home Goods,0
305,40,Thane,32,2794.5,19,Apparel,0
306,46,Mumbai,53,2699.33,30,Home Goods,0
307,19,Bengaluru,22,3450.09,34,Home Goods,0
308,36,Mumbai,46,2679.68,29,Apparel,0
309,54,Kolkata,34,1939.19,12,Home Goods,0
310,52,Bengaluru,34,3051.31,14,Home Goods,0
311,33,Thane,82,4190.79,10,Home Goods,0
312,59,Bengaluru,46,630.35,9,Electronics,1
313,23,Kolkata,6,6607.91,27,Electronics,1
314,59,Mumbai,13,1694.73,23,Groceries,1
315,20,Kolkata,10,4287.12,31,Electronics,1
316,18,Delhi,12,3578.39,15,Electronics,1
317,57,Thane,19,2676.73,17,Groceries,1
318,55,Bengaluru,69,2825.44,25,Apparel,0
319,51,Mumbai,7,3482.49,6,Groceries,1
320,39,Delhi,61,3545.24,16,Groceries,0
321,27,Delhi,40,3409.84,31,Apparel,0
322,56,Thane,55,4181.21,29,Apparel,0
323,47,Kolkata,59,2136.09,25,Electronics,0
324,30,Kolkata,52,1732.16,37,Home Goods,0
325,64,Mumbai,17,2245.39,15,Apparel,1
326,20,Kolkata,51,2997.15,23,Groceries,0
327,54,Thane,7,5197.24,34,Apparel,1
328,52,Bengaluru,42,2522.26,36,Electronics,0
329,36,Kolkata,69,3392.91,18,Electronics,0
330,27,Kolkata,6,5397.75,5,Electronics,1
331,39,Mumbai,38,2015.17,26,Apparel,0
332,21,Mumbai,60,3962.67,20,Groceries,0
333,57,Delhi,23,860.63,37,Home Goods,1
334,37,Kolkata,80,3618.86,25,Apparel,0
335,58,Delhi,24,6437.56,5,Electronics,0
336,36,Delhi,61,5897.38,24,Electronics,0
337,37,Delhi,14,4687.35,21,Home Goods,1
338,33,Thane,67,500.0,8,Home Goods,1
339,19,Mumbai,54,4741.63,32,Electronics,0
340,40,Kolkata,33,5778.66,32,Home Goods,0
341,56,Bengaluru,70,3947.28,16,Groceries,0
342,29,Thane,17,3710.66,30,Electronics,1
343,29,Delhi,72,4720.98,37,Groceries,0
344,42,Mumbai,64,1968.55,22,Electronics,0
345,28,Bengaluru,9,1040.39,18,Electronics,1
346,35,Delhi,47,4453.49,19,Apparel,0
347,26,Kolkata,36,606.65,20,Apparel,1
348,34,Delhi,76,3054.2,29,Electronics,0
349,51,Bengaluru,45,617.73,23,Home Goods,1
350,53,Delhi,58,4699.66,24,Apparel,0
351,21,Thane,34,4106.09,17,Electronics,0
352,49,Delhi,72,2041.58,36,Groceries,0
353,29,Kolkata,42,4418.3,15,Electronics,0
354,32,Kolkata,73,5518.95,37,Electronics,0
355,61,Thane,67,2616.38,26,Home Goods,0
356,24,Thane,27,2383.86,17,Groceries,0
357,56,Thane,27,3192.17,19,Home Goods,0
358,39,Kolkata,58,4036.28,21,Home Goods,0
359,46,Delhi,7,1911.13,6,Electronics,1
360,40,Kolkata,79,4161.32,34,Electronics,0
361,31,Mumbai,75,4247.76,21,Groceries,0
362,43,Mumbai,7,3455.9,24,Electronics,1
363,58,Bengaluru,15,1651.72,10,Groceries,1
364,63,Thane,56,5337.73,21,Electronics,0
365,61,Delhi,35,5440.91,30,Electronics,0
366,58,Thane,53,2448.45,24,Home Goods,0
367,51,Mumbai,49,833.1,27,Electronics,1
368,59,Kolkata,35,810.84,26,Groceries,1
369,38,Mumbai,11,3895.38,20,Groceries,1
370,37,Kolkata,64,4050.04,27,Groceries,0
371,64,Thane,13,1602.25,27,Apparel,1
372,33,Thane,33,4547.06,5,Home Goods,0
373,49,Delhi,46,2180.57,25,Groceries,0
374,61,Thane,25,1761.47,19,Apparel,1
375,37,Kolkata,34,4828.11,9,Apparel,0
376,32,Mumbai,49,1918.99,18,Apparel,0
377,60,Kolkata,29,5172.2,18,Electronics,0
378,54,Delhi,10,5339.38,28,Electronics,1
379,20,Thane,10,4310.63,19,Groceries,1
380,47,Delhi,15,5845.05,38,Electronics,1
381,56,Kolkata,33,2648.13,30,Apparel,0
382,29,Mumbai,36,4068.3,29,Electronics,0
383,29,Bengaluru,19,1312.88,24,Groceries,1
384,20,Thane,54,5915.9,33,Electronics,0
385,42,Bengaluru,12,3085.74,5,Apparel,1
386,35,Thane,43,3476.34,14,Groceries,0
387,58,Thane,11,3093.01,8,Apparel,1
388,60,Kolkata,11,5143.66,17,Electronics,1
389,59,Mumbai,26,2143.27,28,Apparel,1
390,51,Thane,58,4694.57,17,Apparel,0
391,27,Kolkata,69,3273.86,24,Home Goods,0
392,47,Bengaluru,58,3384.72,21,Home Goods,0
393,31,Kolkata,31,3898.47,11,Apparel,0
394,51,Thane,28,2106.78,6,Apparel,1
395,27,Thane,26,2633.11,26,Electronics,0
396,38,Delhi,7,3930.57,13,Apparel,1
397,40,Thane,24,3576.2,29,Electronics,0
398,22,Bengaluru,17,4523.19,34,Electronics,1
399,61,Delhi,52,3395.76,35,Apparel,0
400,43,Kolkata,55,5099.5,26,Electronics,0
401,23,Kolkata,70,3374.51,32,Home Goods,0
402,18,Bengaluru,23,2755.83,23,Home Goods,1
403,56,Kolkata,66,3348.89,22,Electronics,0
404,56,Delhi,9,4690.88,28,Apparel,1
405,62,Bengaluru,24,2443.58,24,Apparel,1
406,59,Thane,14,5410.65,39,Apparel,1
407,57,Thane,48,2845.91,27,Home Goods,0
408,58,Bengaluru,29,3518.34,24,Electronics,0
409,64,Thane,37,6979.28,33,Groceries,0
410,28,Mumbai,49,3428.13,22,Groceries,0
411,55,Bengaluru,43,2907.32,19,Home Goods,0
412,54,Bengaluru,15,4629.54,18,Groceries,1
413,51,Bengaluru,41,2121.61,36,Groceries,0
414,52,Delhi,78,3798.85,29,Apparel,0
415,28,Kolkata,9,2294.65,20,Home Goods,1
416,64,Delhi,76,1914.7,7,Home Goods,0
417,56,Delhi,52,4379.14,24,Groceries,0
418,34,Kolkata,80,3693.84,28,Apparel,0
419,42,Delhi,19,5295.09,6,Home Goods,0
420,54,Delhi,66,4818.79,29,Electronics,0
421,60,Delhi,78,500.0,8,Apparel,1
422,39,Kolkata,43,3927.74,33,Electronics,0
423,34,Kolkata,51,3527.03,6,Electronics,0
424,64,Delhi,68,2184.96,28,Home Goods,0
425,50,Kolkata,55,2913.23,10,Home Goods,0
426,36,Bengaluru,71,4008.6,11,Home Goods,0
427,33,Delhi,63,7012.29,35,Groceries,0
428,23,Kolkata,65,2818.46,10,Groceries,0
429,61,Mumbai,58,2737.31,34,Electronics,0
430,64,Mumbai,76,1775.28,26,Groceries,0
431,48,Bengaluru,45,6467.24,23,Apparel,0
432,31,Kolkata,57,2894.98,9,Apparel,0
433,34,Kolkata,56,4231.68,26,Home Goods,0
434,57,Kolkata,49,4592.83,34,Electronics,0
435,20,Thane,24,2546.47,37,Home Goods,1
436,32,Bengaluru,44,3455.2,12,Apparel,0
437,34,Thane,18,3116.16,16,Apparel,1
438,33,Delhi,61,2021.29,16,Electronics,0
439,18,Delhi,43,2907.21,37,Apparel,0
440,61,Delhi,69,3388.65,21,Apparel,0
441,18,Thane,42,4646.44,15,Electronics,0
442,41,Delhi,51,2835.22,23,Electronics,0
443,35,Kolkata,72,3263.13,18,Home Goods,0
444,30,Thane,30,3436.06,5,Electronics,0
445,54,Kolkata,18,4115.26,31,Home Goods,1
446,30,Bengaluru,15,5929.99,32,Apparel,1
447,61,Thane,59,3136.04,29,Apparel,0
448,26,Kolkata,74,2839.81,5,Home Goods,0
449,48,Kolkata,65,3778.34,36,Groceries,0
450,60,Kolkata,70,3618.32,29,Apparel,0
451,52,Mumbai,28,1869.3,20,Groceries,1
452,61,Delhi,16,5907.5,36,Apparel,1
453,60,Bengaluru,61,1217.91,30,Groceries,0
454,25,Bengaluru,23,1874.93,18,Home Goods,1
455,58,Kolkata,42,4171.19,24,Electronics,0
456,25,Bengaluru,17,4433.78,39,Home Goods,1
457,28,Kolkata,78,5635.71,25,Apparel,0
458,49,Kolkata,26,4774.39,39,Apparel,0
459,19,Kolkata,76,4035.05,28,Apparel,0
460,44,Mumbai,63,3103.91,39,Home Goods,0
461,51,Thane,45,2623.83,33,Apparel,0
462,53,Kolkata,13,3217.6,31,Apparel,1
463,48,Mumbai,34,1454.23,15,Apparel,1
464,53,Thane,60,2406.31,6,Apparel,0
465,31,Mumbai,26,4553.52,32,Apparel,0
466,58,Thane,24,7310.52,10,Home Goods,0
467,62,Bengaluru,50,2587.4,12,Groceries,0
468,39,Bengaluru,55,1154.65,34,Groceries,0
469,39,Thane,11,2012.82,18,Electronics,1
470,18,Bengaluru,48,2711.43,35,Groceries,0
471,54,Thane,78,3930.47,7,Apparel,0
472,47,Delhi,54,4375.4,13,Electronics,0
473,26,Kolkata,39,5527.49,33,Electronics,0
474,52,Bengaluru,75,1734.85,8,Apparel,0
475,25,Delhi,34,4367.34,5,Apparel,0
476,40,Bengaluru,74,3237.04,35,Electronics,0
477,47,Bengaluru,83,3485.02,10,Electronics,0
478,48,Thane,52,4353.58,28,Apparel,0
479,22,Delhi,76,2976.38,22,Groceries,0
480,62,Mumbai,47,2810.53,24,Groceries,0
481,42,Mumbai,38,928.85,28,Apparel,1
482,56,Thane,70,2414.32,38,Groceries,0
483,44,Bengaluru,10,500.0,20,Electronics,1
484,21,Mumbai,56,4305.51,12,Home Goods,0
485,59,Thane,17,3902.01,34,Electronics,1
486,27,Mumbai,76,4422.22,22,Apparel,0
487,48,Bengaluru,35,4633.71,28,Groceries,0
488,37,Kolkata,46,1510.86,31,Home Goods,0
489,39,Kolkata,56,2724.53,11,Electronics,0
490,26,Kolkata,79,1314.3,23,Home Goods,0
491,57,Bengaluru,62,3943.27,8,Groceries,0
492,31,Kolkata,57,2110.93,5,Home Goods,0
493,49,Bengaluru,9,5200.68,18,Apparel,1
494,33,Bengaluru,62,3390.13,9,Apparel,0
495,23,Delhi,8,3944.08,25,Home Goods,1
496,35,Kolkata,73,2921.7,15,Electronics,0
497,35,Thane,30,2349.58,25,Groceries,0
498,63,Bengaluru,54,1748.87,23,Groceries,0
499,50,Mumbai,73,4023.96,22,Electronics,0
500,36,Bengaluru,27,2141.43,17,Apparel,1
501,33,Mumbai,56,4110.6,7,Electronics,0
502,32,Mumbai,29,5159.97,23,Electronics,0
503,47,Mumbai,51,5158.8,14,Electronics,0
504,60,Delhi,77,6167.22,36,Electronics,0
505,43,Mumbai,8,5263.51,31,Apparel,1
506,43,Bengaluru,18,3770.29,32,Home Goods,1
507,35,Thane,21,4102.97,38,Electronics,0
508,54,Delhi,71,1198.1,18,Apparel,0
509,54,Mumbai,59,1081.54,8,Apparel,0
510,55,Thane,54,987.45,13,Home Goods,0
511,27,Thane,51,4143.45,14,Groceries,0
512,26,Kolkata,33,2951.85,39,Groceries,0
513,35,Mumbai,17,3170.69,12,Groceries,1
514,58,Kolkata,45,5118.33,37,Groceries,0
515,46,Kolkata,44,1517.07,35,Apparel,0
516,26,Bengaluru,41,3176.36,26,Groceries,0
517,42,Delhi,81,903.88,5,Apparel,0
518,33,Bengaluru,56,2571.56,24,Home Goods,0
519,27,Kolkata,31,5030.09,32,Groceries,0
520,32,Delhi,81,2818.85,31,Electronics,0
521,27,Mumbai,66,3701.53,35,Home Goods,0
522,31,Delhi,51,4272.44,27,Electronics,0
523,52,Bengaluru,43,4427.19,27,Groceries,0
524,63,Bengaluru,44,4218.12,9,Apparel,0
525,46,Delhi,48,2457.86,9,Home Goods,0
526,43,Bengaluru,40,2798.57,21,Groceries,0
527,46,Delhi,32,2556.65,5,Home Goods,0
528,46,Bengaluru,56,5017.19,7,Apparel,0
529,33,Bengaluru,53,1237.32,15,Home Goods,0
530,49,Kolkata,81,4629.16,28,Apparel,0
531,50,Bengaluru,74,1842.94,12,Apparel,0
532,41,Mumbai,8,3795.59,25,Apparel,1
533,39,Kolkata,47,5258.48,11,Groceries,0
534,40,Delhi,72,2082.96,24,Apparel,0
535,24,Kolkata,57,2837.72,16,Electronics,0
536,34,Bengaluru,80,3438.91,26,Groceries,0
537,54,Bengaluru,83,3224.51,31,Apparel,0
